	PC1	PC2	PC3	PC4	PC5	PC6	group1	group2	group3
11c	-0.526061991	0.105612769	-0.038763365	0.309413067	-0.122421929	0.072915775	f	A	11
11d	0.009713155	-0.049523401	0.115118541	-0.016290628	-0.079856207	-0.025946884	f	A	11
11e	0.01808283	0.006754065	0.045004392	-0.022348448	-0.038929819	0.006924207	f	A	11
11f	0.043875914	-0.033844655	0.122583567	-0.003622254	-0.044707482	-0.054733648	f	A	11
25a	-0.382133247	0.339952654	0.001444459	-0.110912471	0.113335475	0.00043326	g	A	25
25b	-0.371201572	0.39012587	0.043604772	-0.161676058	0.093761815	0.005815656	g	A	25
25c	-0.363908279	0.377797699	0.066736012	-0.156071956	0.10298034	0.032419233	g	A	25
22a	-0.40380979	0.387336012	0.083635494	-0.176017801	0.048761393	0.06310598	h	A	22
22b	-0.374548715	0.385750484	0.131754986	-0.199218237	0.03321307	0.057017206	h	A	22
22c	-0.374548715	0.385750484	0.131754986	-0.199218237	0.03321307	0.057017206	h	A	22
55a	-0.401564306	0.392259315	0.100994884	-0.191448068	0.05199152	0.011202144	h	B	55
55b	-0.377556699	0.365470215	0.133484544	-0.207348251	0.058752195	0.045241258	h	B	55
55c	-0.367329793	0.40262173	0.14770112	-0.164186634	0.034210797	0.079080071	h	B	55
57a	-0.41684209	0.391753102	0.070729044	-0.139889514	0.098463996	0.037587493	h	C	57
57b	-0.37263827	0.404461862	0.119024496	-0.156051765	0.007482298	0.058738825	h	C	57
57c	-0.367329793	0.40262173	0.14770112	-0.164186634	0.034210797	0.079080071	h	C	57
60a	-0.38827872	0.394458521	0.105930576	-0.193156067	0.040197173	0.053265156	h	D	60
60b	-0.374548715	0.385750484	0.131754986	-0.199218237	0.03321307	0.057017206	h	D	60
60c	-0.374548715	0.385750484	0.131754986	-0.199218237	0.03321307	0.057017206	h	D	60
