""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"
"X7d"	0.0931739388823386	-0.192611022568242	0.443941621141792	0.0284134938933952	-0.0689993398315963	0.113859458448606
"X7e"	0.14583256940903	-0.117232489067094	0.470002666419744	-0.0155553631576728	-0.0894837177407804	0.128442357379407
"X9a"	0.548344456336587	-0.00280280150361967	-0.00192761141510004	0.0994062177340242	0.174413956880663	0.0410153876327689
"X9b"	0.629211554465639	-0.0510148398428677	-0.116014985322621	0.080111762300876	0.0707093866112091	0.0732141463377857
"X9c"	0.59224237217202	-0.0365673924946133	-0.102321946552396	0.155109492990628	0.153947433584941	0.0389634558543919
"X10a"	0.616543027524873	-0.0364023666070316	-0.0371257906766405	0.0980744735498357	0.0861195409559168	-0.0418604101307318
"X10b"	0.568737639728543	-0.164737730933807	-0.110535971040646	0.114512592456672	-0.0389407412128238	0.0903075483469495
"X10c"	0.532796200496319	-0.097592993207888	-0.162297015410973	0.154256435573096	-0.0665656475378487	0.093418263445334
"X11a"	0.0835595042619967	-0.198925364574289	0.173909960122413	-0.0140002879480388	0.219088747738264	-0.0713361110693227
"X11b"	0.547157660476733	-0.172367264077984	-0.0844419978730005	0.0196973562975671	-0.0588617517586578	0.041586487832151
"X11c"	0.526061990778989	0.105612768761587	-0.0387633649283555	-0.309413067329325	0.122421928510291	-0.0729157753941428
"X11d"	-0.00971315547826422	-0.0495234011572987	0.115118541339318	0.0162906280747562	0.0798562073597905	0.0259468840061391
"X11e"	-0.0180828297068855	0.00675406460475713	0.0450043917329612	0.0223484483578981	0.0389298189891026	-0.00692420682661715
"X11f"	-0.0438759142268502	-0.0338446545173038	0.122583566911952	0.00362225390492121	0.0447074819212409	0.0547336477896597
"X14a"	0.593851897732892	-0.0821347187746259	-0.0714101580645312	0.121035206880812	0.0937368131037065	0.031404945106572
"X14b"	0.542444660816527	-0.168880730951846	-0.0411719829634432	0.0918323633309946	-0.144528084663525	-0.0125550849472263
"X14c"	0.537172756823991	-0.0719906046935287	-0.0865457296920733	-0.0394246881533622	-0.0724525009173139	-0.0157949664570993
"X18a"	0.093886294551028	-0.0749152010844675	0.385332112948091	0.0391264075213311	0.154305102856043	-0.173419987523394
"X18b"	0.208120063078839	-0.208869589247252	0.372931154715601	-0.0976042166781147	0.0169623380145112	0.0770730482701971
"X18c"	0.144093572708602	-0.168413482293379	0.354152463468572	-0.0357034839235515	0.0418372614160684	0.0450912901790974
"X19a"	0.414094926556217	-0.167257875398447	0.0780670845650121	0.0402221710965815	0.00168262901755765	-0.0683504804835692
"X19b"	0.560485958765834	-0.142257680317844	-0.114849706665493	0.0917869123718983	-0.0884199418570147	-0.0311857725940789
"X19c"	0.568798559900666	-0.0612398389892408	-0.139340626807016	0.0440992322690255	-0.173079917744054	0.0536996230305554
"X20a"	0.619790051823001	-0.057949683253192	-0.10132601036632	0.113760838053733	0.14766402939016	0.0499654318420156
"X20b"	0.577675253058638	-0.096964962409549	-0.148842441894471	0.0809082362907315	0.00195039779312668	0.0940866404640487
"X20c"	0.563230234703252	-0.0973696555700358	-0.0774281898867051	0.167377772482113	0.0795628398228742	0.0798397617505188
"X22a"	0.403809789943202	0.387336011573814	0.0836354942646713	0.176017800675912	-0.0487613931884923	-0.0631059801695899
"X22b"	0.374548714929441	0.385750484134526	0.13175498614757	0.19921823732596	-0.0332130704002173	-0.0570172058817487
"X22c"	0.374548714929441	0.385750484134526	0.13175498614757	0.19921823732596	-0.0332130704002173	-0.0570172058817487
"X25a"	0.382133246651073	0.339952654379151	0.00144445886755257	0.110912471378057	-0.113335475256857	-0.000433260128052628
"X25b"	0.371201571619465	0.390125870446844	0.0436047722683927	0.161676058429356	-0.0937618149195757	-0.00581565610726349
"X25c"	0.363908279262098	0.377797698669113	0.0667360116662909	0.156071955666779	-0.10298033951281	-0.0324192334181538
"X35a"	0.507861579299085	0.215017936046776	-0.0187450140272101	-0.347773064070919	0.0804537877641402	0.03679833260697
"X35b"	0.505685198490717	0.161898671541408	-0.00998222135369786	-0.339963395879702	0.117782347713889	0.0160938713189423
"X35c"	0.464836485125062	0.195833913595025	-0.0642537215530424	-0.361569897407671	0.066211191190468	-0.0373099462645339
"X37a"	0.540547183835945	-0.0832685613630268	-0.0773482549078993	0.0630756896746778	0.0865733901475484	0.0106715568839499
"X37b"	0.566136597600067	-0.132684927738021	-0.075849232836739	0.0130022289952963	-0.0137226983603076	0.028332239215583
