Sample ID	a1	A1	a2	A2	a3	A3	a4	a5	a6	b1	B1	b2	B2	b3	B3	b4	b5	b6	c1	C1	c2	C2	c3	C3	c4	c5	c6	ck1	CK1	ck2	CK2	ck3	CK3	ck4	CK4	ck5	CK5	ck6	CK6	d1	D1	d2	D2	d3	D3	d4	d5	d6
Uniq1617	0	5	0	4	0	6	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0
Uniq2547	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2098	0	7	0	0	0	0	0	0	0	0	88	0	7	0	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq3213	0	33	0	3	0	76	0	0	0	0	14	0	1	0	39	0	0	0	0	2	0	3	0	1	0	0	0	0	7	0	13	0	7	0	11	0	5	0	7	0	2	0	1	0	1	0	0	0
Uniq3731	0	5	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq478	0	1	0	2	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq1547	0	5	0	15	0	12	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Uniq2623	0	2	0	3	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq4191	0	1	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Uniq428	0	9	0	7	0	7	0	0	0	0	4	0	13	0	6	0	0	0	0	1	0	3	0	17	0	0	0	0	6	0	5	0	18	0	8	0	2	0	8	0	1	0	1	0	0	0	0	0
