OTU ID	A1a	A1b	A1c	A2a	A2b	A2c	A3a	A3b	A3c	A4a	A4b	A4c	A5a	A5b	A5c	B1a	B1b	B1c	B2a	B2b	B2c	B3a	B3b	B3c	C1a	C1b	C1c	C2a	C2b	C2c	C3a	C3b	C3c	C4a	C4b	C4c	C5a	C5b	C5c	ck1a	ck1b	ck1c	ck2a	ck2b	ck2c	ck3a	ck3b	ck4a	ck4b	ck4c	ck5a	ck5b	ck5c	D10	D11	D12	D1	D2	D3	D4	D5	D6	D7	D8	D9
OTU206	5	7	6	3	5	5	7	9	9	4	6	6	6	4	6	8	8	4	8	10	11	9	13	8	3	4	3	4	4	5	8	3	3	2	6	6	6	3	3	2	5	7	8	8	5	5	7	6	5	4	5	5	7	1	1	0	1	1	0	1	1	1	1	1	1
OTU113	5	10	9	8	7	8	10	9	5	5	5	5	5	5	6	1	3	2	2	1	2	4	7	4	2	0	2	2	3	2	6	3	2	1	1	1	1	1	0	1	2	2	2	2	4	4	4	1	2	4	1	1	2	11	11	9	9	8	10	11	14	11	13	11	13
OTU804	1	1	1	3	3	3	0	1	0	1	0	1	1	1	1	5	4	3	5	8	9	11	6	6	4	6	3	6	5	3	14	10	16	30	45	56	8	6	6	0	0	0	1	0	3	1	1	0	0	0	7	5	4	0	0	0	0	0	1	1	1	0	0	0	0
OTU119	3	1	2	5	6	6	7	7	5	5	4	2	2	4	4	2	3	4	3	2	3	4	4	3	2	4	1	4	2	4	2	2	2	2	4	2	4	5	3	2	3	5	1	1	3	2	3	1	0	3	2	5	2	13	11	12	12	9	11	10	13	15	13	11	14
OTU177	5	11	9	4	6	5	4	8	6	3	4	9	13	5	8	2	0	0	0	0	0	2	2	3	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	5	6	9	7	6	8	4	12	7	8	15	4	13	18	6	4	7	5	4	5	4	6	10	6	7	6
OTU98	5	10	8	4	10	10	5	11	9	4	7	11	10	8	6	1	1	1	1	1	1	3	1	3	1	0	1	1	1	1	1	0	0	0	2	2	1	1	1	4	6	9	8	9	12	10	10	9	4	8	8	8	10	5	4	3	4	4	5	5	3	3	4	3	3
OTU175	1	1	1	2	2	2	3	1	3	2	2	3	2	3	2	12	10	11	8	14	5	5	7	6	6	7	8	7	11	10	9	18	9	8	9	20	14	8	12	1	1	3	0	0	2	1	1	0	0	2	1	2	3	1	1	2	2	2	2	1	2	2	2	2	3
OTU120	1	0	1	10	12	9	1	1	1	4	2	2	4	7	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	9	5	9	15	20	10	20	11	7	3	1	34	28	16	4	3	3	6	3	3	4	3	5	5	5	6
OTU96	3	1	2	2	4	1	7	4	4	6	2	3	1	3	0	0	1	0	0	0	0	4	2	0	1	1	0	0	1	1	0	0	0	0	0	0	1	2	0	18	12	9	30	14	8	67	21	17	13	5	6	6	5	1	1	2	0	1	1	1	2	1	1	1	1
OTU191	1	4	5	5	5	8	3	6	5	4	4	5	9	6	5	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	2	3	1	2	2	3	2	1	0	2	6	3	12	9	6	5	4	6	7	4	4	8	11	8	8	10	9	9	9	11	10	8	12	11	10
OTU179	12	8	10	12	10	9	5	5	4	6	3	4	4	7	7	0	0	0	0	0	0	0	0	0	2	1	1	5	5	4	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	2	1	0	1	18	17	13	11	15	13	11	11	14	14	13	13
